"";"trabalha";"mae";"raça";"NSEAluno";"major"
"1";"Nao_Sabe";"Superior+";"Branca";"5.6";"Publica"
"2";"Trabalhar";"Fund+";"Branca";"4.86";"Publica"
"3";"Trabalhar";"Superior+";"Branca";"5.79";"Publica"
"4";"Trabalhar";"Fund-";"Parda";"4.9";"Publica"
"5";"Trabalhar";"Superior+";"Parda";"5.52";"Publica"
"6";"Trabalhar";"Fund-";"Branca";"6.58";"Publica"
"7";"Trabalhar";"Superior+";"Parda";"4.89";"Publica"
"8";"Estudar";"Fund-";"Branca";"4.98";"Publica"
"9";"Trabalhar";"Fund+";"Branca";"5.26";"Publica"
"10";"Estudar";"Medio+";"Branca";"7.39";"Pub+Pri"
"11";"Nao_Sabe";"Fund-";"Branca";"6.05";"Publica"
"12";"Estudar";"Medio+";"Branca";"7";"Pub+Pri"
"13";"Estudar";"Fund+";"Branca";"5.41";"Publica"
"14";"Nao_Sabe";"Fund+";"Branca";"5.59";"Publica"
"15";"Estudar";"Fund+";"Branca";"5.15";"Pub+Pri"
"16";"Estudar";"Fund+";"Preta";"5.77";"Pub+Pri"
"17";"Nao_Sabe";"Superior+";"Branca";"4.03";"Pub+Pri"
"18";"Estudar";"Medio+";"Branca";"6.51";"Pub+Pri"
"19";"Estudar";"Fund+";"Branca";"5.48";"Publica"
"20";"Estudar";"Fund+";"Branca";"5.62";"Publica"
"21";"Estudar";"Fund+";"Branca";"6.52";"Publica"
"22";"Nao_Sabe";"Fund-";"Branca";"6.17";"Publica"
"23";"Nao_Sabe";"Medio+";"Branca";"4.61";"Pub+Pri"
"24";"Trabalhar";"Superior+";"Parda";"6.39";"Publica"
"25";"Nao_Sabe";"Fund-";"Branca";"5.86";"Publica"
"26";"Estudar";"Medio+";"Branca";"6.64";"Publica"
"27";"Nao_Sabe";"Fund+";"Parda";"5.46";"Publica"
"28";"Nao_Sabe";"Medio+";"Preta";"6.39";"Publica"
"29";"Trabalhar";"Fund+";"Branca";"5.84";"Publica"
"30";"Trabalhar";"Superior+";"Branca";"6.08";"Publica"
"31";"Trabalhar";"Fund-";"Branca";"4.16";"Publica"
"32";"Trabalhar";"Fund+";"Parda";"5.91";"Publica"
"33";"Nao_Sabe";"Superior+";"Parda";"5.67";"Publica"
"34";"Trabalhar";"Fund-";"Branca";"6.21";"Publica"
"35";"Nao_Sabe";"Medio+";"Branca";"5.9";"Publica"
"36";"Nao_Sabe";"Superior+";"Branca";"5.44";"Publica"
"37";"Trabalhar";"Fund-";"Branca";"5.79";"Publica"
"38";"Estudar";"Medio+";"Branca";"5.88";"Pub+Pri"
"39";"Trabalhar";"Superior+";"Branca";"5.26";"Publica"
"40";"Trabalhar";"Fund+";"Parda";"5.69";"Publica"
"41";"Estudar";"Fund+";"Branca";"5.86";"Publica"
"42";"Nao_Sabe";"Fund+";"Branca";"5.03";"Publica"
"43";"Nao_Sabe";"Medio+";"Branca";"5.4";"Publica"
"44";"Nao_Sabe";"Medio+";"Branca";"7.62";"Privada"
"45";"Trabalhar";"Superior+";"Branca";"4.88";"Publica"
"46";"Nao_Sabe";"Fund-";"Parda";"6.61";"Publica"
"47";"Trabalhar";"Superior+";"Branca";"5.81";"Publica"
"48";"Trabalhar";"Superior+";"Parda";"5";"Publica"
"49";"Trabalhar";"Fund+";"Branca";"";"Publica"
"50";"Trabalhar";"Fund+";"Parda";"4.51";"Publica"
"51";"Estudar";"Fund+";"Branca";"5.28";"Publica"
"52";"Nao_Sabe";"Superior+";"Branca";"5.09";"Pub+Pri"
"53";"Trabalhar";"Fund-";"Parda";"5.8";"Publica"
"54";"Trabalhar";"Fund+";"Parda";"4.79";"Publica"
